"NOTICEID","REFERENCENUMBER","DATEPUBLISHED","VALUEMIN","VALUEMAX","STATUS","URL","ORG_NAME","ORG_CONTACTEMAIL","TITLE","DESCRIPTION","NOTICETYPE","REGION","NOTICE_STATE","NOTICE_STATE_CHANGE_DATE","CLASSIFICATION","NUM_DOCS"
"1699393","FE708","20/01/2015","10000.00","15000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1699393/","Salisbury NHS Foundation Trust","procurement@salisbury.nhs.uk","Mains Water Coolers for Salisbury District Hospital","Supply and installation of 26 mains fed, UV filtered chilled drinking water units.","Below OJEU: Contract","South West","Closed","20/01/2015","31141000","1",
"1697015","FE706","20/01/2015","25000.00","25000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1697015/","Salisbury NHS Foundation Trust","procurement@salisbury.nhs.uk","Demolition of redundant building at Salisbury District Hospital","Survey, report and demolition of redundant single storey building (Building 21 on site plans) at Salisbury District Hospital. Potential contractors are required to submit bids via the Trust&#39;s Ariba procurement portal, where full documentation is","Below OJEU: Contract","Wiltshire CC","Closed","20/01/2015","45110000","2",
"1712234","3612577","20/01/2015","19944.00","19944.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712234/","","minorworkssouth@noms.gsi.gov.uk","Emergency Replacement to Mono and Control Panel to HMP Elmley External Sewage Pit","Emergency replacement to mono and control panel to HMP Elmley external sewage pit","Published Contract Doc Set","Kent","Published","20/01/2015","45000000","1",
"1712235","P/REF 00000086","20/01/2015","20000.00","30000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712235/","English Heritage-National Heritage Protection Commissions","nhpcptenders@english-heritage.org.uk","7182 Evaluation of National Capacity Building Progamme","Historic England intends to continue its support to the sector using funding to build capacity in accordance with Heritage 20:20. A new or revised programme would need to be launched in 2016, if new funding agreements are to be in place for 1 April ","Below OJEU: Contract","United Kingdom","Closed","20/01/2015","73000000","0",
"1712237","0133","20/01/2015","250000.00","250000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712237/","Nottinghamshire County Council","Catherine.Flint@nottscc.gov.uk","Specialist Support Service - Child Sexual Exploitation (CSE)","Nottinghamshire County Council is seeking to commission a specialist CSE service which will work across the Nottinghamshire County to support children and young people who are at risk of, or who have experienced sexual exploitation. The service will","Published Tender Doc Set","Derbyshire and Nottinghamshire","Published","20/01/2015","85000000","0",
"1712236","3612059","20/01/2015","40000.00","40000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712236/","","minorworkssouth@noms.gsi.gov.uk","Fuel Leak Remedials at HMP Foston Hall","Fuel leak remedials at HMP Foston Hall","Published Contract Doc Set","West Midlands","Published","20/01/2015","45000000","1",
"1699367","14.198","20/01/2015","0.00","1500000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1699367/","","aelliott1@nhs.net","Referral Management Service","NHS Brighton and Hove CCG covers a population of 290,000 within which there are 46 GP practices. A RMS has been in place since May 2008. During 2013/14, the CCG has procured a new Integrated Musculoskeletal (MSK)service and the referral management e","Published Tender Doc Set","Brighton and Hove","Published","20/01/2015","85100000","0",
"1712238","4272-1-Works/FM-SW-Contract","20/01/2015","99305.00","99305.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712238/","","minorworkssouth@noms.gsi.gov.uk","Removal, Supply & Instal a Timber Modular Building at HMP Buckley Hall","Removal, supply and install timber modular building at HMP Buckley Hall","Published Contract Doc Set","North West","Published","20/01/2015","44211100","2",
"1702192","1237","12/01/2015","50000.00","750000.00","Replaced","http://data.gov.uk/data/contracts-archive/contract/1702192/","Department for Education","character.education@education.gsi.gov.uk ","Character Education Grants","The Department for Education’s Character Education Grant programme will fund projects which help develop a set of character traits, attributes and behaviours in pupils that underpin success in education and work such as: - Perseverance, resilience a","Below OJEU: Contract","England","Closed","20/01/2015","80000000","4",
"1712245","2014/SLC/264","20/01/2015","100000.00","500000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712245/","Student Loans Company Ltd","eileen_keiller@slc.co.uk","GB-Glasgow: IT Audit and Related Services","Provision of auditing services to undertake the company&#39;s annual IT audit and any other related audit services.","Below OJEU: Contract","Glasgow City","Closed","20/01/2015","79212200|79212000|79212300","0",
"1712243","4279-1-Works/FM-SW-Contract","20/01/2015","71329.90","71329.90","Live","http://data.gov.uk/data/contracts-archive/contract/1712243/","","minorworkssouth@noms.gsi.gov.uk","Sectional Modular Building for Agricultural Equipment at HMPYOI Feltham","Sectional modular building for agricultural equipment at HMPYOI Feltham","Published Contract Doc Set","South East","Published","20/01/2015","44211100","2",
"1712246","4417-1-Works/FM-SW-Contract","20/01/2015","14937.17","14937.17","Live","http://data.gov.uk/data/contracts-archive/contract/1712246/","","minorworkssouth@noms.gsi.gov.uk","Toilet Facility Within HMPYOI Feltham","Provision of a toilet facility at HMPYOI Feltham","Published Contract Doc Set","London","Published","20/01/2015","45000000","2",
"1631629","2014.EK.KINGSNORTHMEDICAL.1.0","17/12/2014","57348.00","57348.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1631629/","","procurement.secsu@nhs.net","Paediatric ENT","Paediatric ENT ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712249","2000357395","20/01/2015","80000.00","110000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712249/","Sellafield Ltd","linda.a.ross@sellafieldsites.com","2000357395 - 9.5T Wheeled Excavator","Supply of 9.5T Wheeled Excavator. ","Below OJEU: Contract","Beckermet","Closed","20/01/2015","42000000","0",
"1712248","2014.EK.KINGSNORTHMEDICAL.1.0","20/01/2015","57348.00","57348.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712248/","","procurement.secsu@nhs.net","Paediatric ENT","Paediatric ENT ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712247","4415-1-Works/FM-SW-Contract","20/01/2015","16979.95","16979.95","Live","http://data.gov.uk/data/contracts-archive/contract/1712247/","","minorworkssouth@noms.gsi.gov.uk","Main Admin Ceiling Works at HMPYOI Feltham","Main admin ceiling works at HMPYOI Feltham","Published Contract Doc Set","London","Published","20/01/2015","45000000","2",
"1712250","1195","20/01/2015","1340411.30","1340411.30","Live","http://data.gov.uk/data/contracts-archive/contract/1712250/","Leeds City Council","karen.towers@leeds.gov.uk","St Oswalds Primary School - Design and Build of a Two Storey Extension","design and build a two storey extension to house four new additional classrooms and ancillary facilities to provide accommodation suitable for key stage 1 pupils.","Below OJEU: Contract Award","Leeds","Published","20/01/2015","45214200|45214210","0",
"1712239","T.BSMHFT.101.14","20/01/2015","500000.00","600000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712239/","Birmingham and Solihull Mental Health NHS Foundation Trust","duncan.freeman@bsmhft.nhs.uk","GP Service for Forensic Patients","The requirement is for specialist nurse sessions and specialist GP on a weekly basis at the Trusts locations. The timing of sessions needs to ensure adequate coverage of issues throughout the week and with a view to achieving the Best Practice Guide","Below OJEU: Contract","Birmingham","Closed","20/01/2015","85121100","0",
"1630038","2014.EK.EASTCLIFF.3.0","17/12/2014","49228.00","49228.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630038/","","procurement.secsu@nhs.net","Musculoskeletal (MSK)","Musculoskeletal (MSK) ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712252","1136","20/01/2015","100000.00","100000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712252/","Leeds City Council","anne.sweeting@leeds.gov.uk","West Yorkshire Supply of Traffic Sign Poles contract 2014-2016","Supply of traffic sign poles to all the West Yorkshire District Councils","Below OJEU: Contract Award","West Yorkshire","Published","20/01/2015","34928472","0",
"1712251","4117-1-Estates-SE-Contract","20/01/2015","726436.49","726436.49","Live","http://data.gov.uk/data/contracts-archive/contract/1712251/","","","HMPSTC Newbold Revel Boiler Replacement BPRN 619/14/1761","Boiler Replacement","Published Contract Doc Set","Newbold","Published","20/01/2015","45216113","0",
"1712255","2014.EK.EASTCLIFF.3.0","20/01/2015","49228.00","49228.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712255/","","procurement.secsu@nhs.net","Musculoskeletal (MSK)","Musculoskeletal (MSK) ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1630043","2014.EK.STANNES.2.0","17/12/2014","249988.00","249988.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630043/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1630042","2014.EK.NEWHAYESBANK.1.0","17/12/2014","333293.00","333293.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630042/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1630040","2014.EK.BETHESDA.3.0","17/12/2014","99141.00","99141.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630040/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712257","2014.EK.STANNES.2.0","20/01/2015","249988.00","249988.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712257/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712258","2014.EK.NEWHAYESBANK.1.0","20/01/2015","333293.00","333293.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712258/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712261","PS/14/125","20/01/2015","25000.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712261/","Driver and Vehicle Licensing Agency","jean.jackson@dvla.gsi.gov.uk","GB-Swansea: Camera and Microscope","The Driver and Vehicle Licensing Agency (DVLA) has a requirement for a 5 Mega Pixel Colour Camera and Stereomicroscope which includes a standard 1 year warranty along with a 2 year support and maintenance contract with an option to extend annually.","Below OJEU: Contract","Swansea","Closed","20/01/2015","38651000|38634000","0",
"1712260","2014.EK.BETHESDA.3.0","20/01/2015","99141.00","99141.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712260/","","procurement.secsu@nhs.net","Ophthalmology","Ophthalmology ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1630037","2014.EK.WHITSTABLEMEDICAL.6.0","17/12/2014","799010.00","799010.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630037/","","procurement.secsu@nhs.net","Minor Injury Unit","Minor Injury Unit ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712240","LSBU10/1191","20/01/2015","685000.00","3400000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712240/","","","LSBU10/SPARES LSBU10/1191","SUPPLY OF PALLET BATTERY CHARGER","Published Tender Doc Set","Donnington","Published","20/01/2015","31158000","3",
"1712262","2014.EK.WHITSTABLEMEDICAL.6.0","20/01/2015","799010.00","799010.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712262/","","procurement.secsu@nhs.net","Minor Injury Unit","Minor Injury Unit ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712206","HCAP14040","20/01/2015","349844.00","349844.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712206/","Homes and Communities Agency","phil.collings@hca.gsi.gov.uk","Public realm upgrade – land at the corner of Cotton Street / Blossom Street, Ancoats, Manchester","The Homes and Communities Agency (HCA) wish to appoint a suitably qualified contractor to deliver a brand new area of public realm at the heart of Manchester’s Ancoats neighbourhood. The successful contractor will be appointed on the basis of a trad","Below OJEU: Contract Award","Greater Manchester","Published","20/01/2015","45100000|45000000","0",
"1630036","2014.WK.KMPT.3.0","17/12/2014","54635845.00","54635845.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630036/","","procurement.secsu@nhs.net","Mental Health","Mental Health ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1630029","2014.WK.KMPT.1.0","17/12/2014","27044898.00","27044898.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630029/","","procurement.secsu@nhs.net","Mental Health","Mental Health ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712263","2014.WK.KMPT.3.0","20/01/2015","54635845.00","54635845.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712263/","","procurement.secsu@nhs.net","Mental Health","Mental Health ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712264","2014.WK.KMPT.1.0","20/01/2015","27044898.00","27044898.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712264/","","procurement.secsu@nhs.net","Mental Health","Mental Health ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1611978","Upwards Feedback","30/10/2014","10000.00","113000.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1611978/","Ministry of Defence, DSTL","sjreeves@dstl.gov.uk","GB-Salisbury: HR Consultancy advice - Appraisal","The objective of this work is to identify an intervention, which will support line managers to continually develop and improve their performance management and the development of their employees through receiving employee feedback.","Below OJEU: Contract","South West","Closed","20/01/2015","79414000","0",
"1712266","Upwards Feedback","20/01/2015","10000.00","113000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712266/","Ministry of Defence, DSTL","sjreeves@dstl.gov.uk","GB-Salisbury: HR Consultancy advice - Appraisal","The objective of this work is to identify an intervention, which will support line managers to continually develop and improve their performance management and the development of their employees through receiving employee feedback.","Below OJEU: Contract","South West","Closed","20/01/2015","79414000","0",
"1630020","2014.EK.BETHESDA.2.0","17/12/2014","321900.00","321900.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1630020/","","procurement.secsu@nhs.net","Headache Clinic","Headache Clinic ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1628053","2014.EK.STURRYSURGERY.1.0","17/12/2014","25028.00","25028.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1628053/","","procurement.secsu@nhs.net","General Medicine","General Medicine ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1631638","2014.EK.ROMNEYDAYCENTRE.1.0","17/12/2014","53000.00","53000.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1631638/","","procurement.secsu@nhs.net","Rehabilitation services","Rehabilitation services ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712269","2014.EK.BETHESDA.2.0","20/01/2015","321900.00","321900.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712269/","","procurement.secsu@nhs.net","Headache Clinic","Headache Clinic ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712270","2014.EK.STURRYSURGERY.1.0","20/01/2015","25028.00","25028.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712270/","","procurement.secsu@nhs.net","General Medicine","General Medicine ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712272","1221","20/01/2015","30000.00","30000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712272/","London Borough of Enfield","selmaali.ramadan@enfield.gov.uk","Contamination Support","Delivery of a door-knocking programme visiting residents in flats and estates to promote the recycling services with the aim to reduce contamination.","Below OJEU: Contract Award","United Kingdom","Published","20/01/2015","90000000","0",
"1712271","2014.EK.ROMNEYDAYCENTRE.1.0","20/01/2015","53000.00","53000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712271/","","procurement.secsu@nhs.net","Rehabilitation services","Rehabilitation services ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712132","UI_DWP_101542","20/01/2015","99840.00","99840.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712132/","Department for Work and Pensions IT Infrastructure Category Commercial Team ","","Security Architecture Consulting Service","The requirement is for specialist architectural consulting to design a secure data centre for Crown Hosting. The activity is to secure via specialist cloud services an expert security design organisation that can outline a logical architecture to pr","Below OJEU: Contract Award","Birchwood","Published","20/01/2015","72000000","4",
"1712259","RM5073 SO7995","20/01/2015","18550.00","18550.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712259/","","","Rapid Evidence Review","Understanding the size and growth of the cycling and cycling-related sectors. Understanding the local economic impact of cycling infrastructure (for example, traffic protected or segregated bike lanes).","Published Contract Doc Set","London","Published","20/01/2015","73000000","1",
"1631639","2014.EK.PEKM.1.0","17/12/2014","84000.00","84000.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1631639/","","procurement.secsu@nhs.net","Repeat Pressures Service","Repeat Pressures Service ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712267","CON-0055","20/01/2015","50000.00","75000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712267/","Cell Therapy Catapult","tenders@ct.catapult.org.uk","Cell Perifusion System","A Perifusion System is sought to perform in-vitro testing of islets of Langerhans and other insulin secreting cell populations. The perifusion would preferably allow for automated sample collection.","Below OJEU: Contract","London","Closed","20/01/2015","38000000|33000000","3",
"1631640","2014.EK.PARKSURGERY.1.0","17/12/2014","23744.00","23744.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1631640/","","procurement.secsu@nhs.net","Upper Limb Clinic","Upper Limb Clinic ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1631641","2014.EK.WHITSTABLEMEDICAL.8.0","17/12/2014","117331.00","117331.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1631641/","","procurement.secsu@nhs.net","X-ray","X-ray ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712278","1210","20/01/2015","143416.00","143416.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712278/","Leeds City Council","carl.snowden@leeds.gov.uk","Supply of 4no. 7000kg GVW Single Chassis Cab with Toolbox and Box Tipper Bodies","Supply of 4no. 7000kg GVW Single Chassis Cab with Toolbox and Box Tipper Bodies for Leeds City Council","Below OJEU: Contract Award","Leeds","Published","20/01/2015","34130000","0",
"1712280","13-14 O&amp;R 7","20/01/2015","100000.00","120000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712280/","Tyne and Wear Fire and Rescue Service (TWFRS)","chris.chapman@twfire.gov.uk","Thermal Image Camera","Tyne and Wear Fire and Rescue Authority are looking to procure thermal images camera to complement their existing fleet.","Below OJEU: Contract","Sunderland","Closed","20/01/2015","35000000","0",
"1712275","RM4949 SO7417","20/01/2015","206729.91","206729.91","Live","http://data.gov.uk/data/contracts-archive/contract/1712275/","","","National Trip End Model Dataset Update","1.1 Transport Appraisal and Strategic Modelling (TASM) Division is part of the Analysis and Strategy Directorate in the Department for Transport (hereinafter referred to as The Department) and commissions research with the intention of providing gui","Published Contract Doc Set","London","Published","20/01/2015","73000000","1",
"1712265","2308","20/01/2015","17700.00","17700.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712265/","","mail@homesandcommunities.co.uk","Project Management Work at Rotherham","Project management, CDM supervision and QS services for refurbishment work at the Advanced Manufacturing Park Technology Centre.","Published Contract Doc Set","Rotherham","Published","20/01/2015","45453100","1",
"1712244","RM5098 (SO8070)","20/01/2015","95000.00","95000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712244/","","ServiceOps.research@ccs.gsi.gov.uk","HS2 Cycling Feasibility Second Phase","The Route Study should explore how DfT can refine and improve an existing straw-man route which includes a linear route of almost 600 miles broadly within the HS2 corridor, with over 80% being potentially traffic free, and with a further 400 miles o","Published Contract Doc Set","Birmingham","Published","20/01/2015","","0",
"1705707","C&amp;P0022015","20/01/2015","31000000.00","34000000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705707/","","www.curtisfitch-esourcing.com","111 and Out of Hours Provision for Cambridgeshire and Peterborough CCG","Cambridgeshire and Peterborough Clinical Commissioning Group wish to invite suitably qualified and experienced providers to bid for the provision of an Integrated NHS 111 and Out of Hours Service. The contracting vehicle(s) will be confirmed at ITT ","Published Tender Doc Set","Cambridgeshire CC","Published","20/01/2015","85141200|85141000|85121100|85100000|79512000","0",
"1712284","RE150023","20/01/2015","15000.00","30000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712284/","UK Shared Business Services Ltd.","jock.hiddleston@uksbs.co.uk","RE150023 UK SBS SUPPLY OF COLLABORATIVE ROBOTIC ARM FOR SAMPLE CHANGER APPLICATIONS","On behalf of the Science &amp; Technology Facilities Council, this procurement is for the supply of a collaborative robotic arm for sample changer applications. a low voltage isolated power supply as per attached specification. About UK Shared Busin","Below OJEU: Contract","Oxford","Closed","20/01/2015","38000000","5",
"1712291","0310","20/01/2015","400000.00","400000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712291/","Bournemouth Borough Council","procurement@bournemouth.gov.uk","Programme Director for the Bournemouth Wheels Festival","The Bournemouth Wheels Festival, organised by Bournemouth Tourism, was introduced in 2014 and takes place over three days with the dates for 2015 being Friday 29th - 31st May. This event is free and in 2014 attracted approximately 500,000 visitors. ","Published Tender Doc Set","Bournemouth and Poole","Published","20/01/2015","79952000","0",
"1670748","HOS/14/046","16/12/2014","26000.00","29000.00","Replaced","http://data.gov.uk/data/contracts-archive/contract/1670748/","HOS - Home Office Science","hosprocurement@homeoffice.gsi.gov.uk","HOS/14/046 - Evaluation of Right to Rent: Research with Landlords, Agents and Tenants","See attached document","Below OJEU: Contract","London","Closed","20/01/2015","73000000","1",
"1712292","HOS/14/046","20/01/2015","26000.00","29000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712292/","HOS - Home Office Science","hosprocurement@homeoffice.gsi.gov.uk","HOS/14/046 - Evaluation of Right to Rent: Research with Landlords, Agents and Tenants","See attached document","Below OJEU: Contract","London","Closed","20/01/2015","73000000","2",
"1712294","ArmyRTD/00015","20/01/2015","10000.00","113000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712294/","Ministry of Defence, C&amp;C","defcomrclcc-armyhq-afc-d@mod.uk","GB-Harrogate: ArmyRTD/00015","Expressions of interest are required by e mail by 11 February 2015 and are to be limited to 4 sides of A4 providing details on the company and detail specific experience in delivering Career Guidance Workshops. Provide details of your organisations ","Below OJEU: Contract","North Yorkshire","Closed","20/01/2015","79634000","0",
"1712295","2014.EK.PEKM.1.0","20/01/2015","84000.00","84000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712295/","","procurement.secsu@nhs.net","Repeat Pressures Service","Repeat Pressures Service ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712298","2014.EK.PARKSURGERY.1.0","20/01/2015","23744.00","23744.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712298/","","procurement.secsu@nhs.net","Upper Limb Clinic","Upper Limb Clinic ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712299","1111","20/01/2015","13800.00","13800.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712299/","Hertfordshire NHS Procurement","lauren.brooks@hertsprocurement.nhs.uk","WHHT - Spectrophotometer","WHHT - Spectrophotometer","Below OJEU: Contract","Hertfordshire","Closed","20/01/2015","33100000","0",
"1712300","2014.EK.WHITSTABLEMEDICAL.8.0","20/01/2015","117331.00","117331.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712300/","","procurement.secsu@nhs.net","X-ray","X-ray ","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1628050","2014.EK.WYESURGERY.1.0","17/12/2014","13592.00","13592.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1628050/","","procurement.secsu@nhs.net","ENT ","ENT","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712301","2014.EK.WYESURGERY.1.0","20/01/2015","13592.00","13592.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712301/","","procurement.secsu@nhs.net","ENT ","ENT","Published Contract Doc Set","Kent","Published","20/01/2015","85100000|85000000","1",
"1712302","1112","20/01/2015","26096.00","26096.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712302/","Hertfordshire NHS Procurement","lauren.brooks@hertsprocurement.nhs.uk","WHHT - Irradiation Booth","WHHT - Irradiation Booth","Below OJEU: Contract","Hertfordshire","Closed","20/01/2015","33100000","0",
"1712303","CBRN/00191","20/01/2015","7115941.00","7115941.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712303/","","DESCBRN-Comrcl-CP2@mod.uk","FUCHS Vehicle Regeneration and In-Service Support","FUCHS Vehicle Regeneration and In-Service Support","Published Contract Doc Set","Bristol, City of","Published","20/01/2015","35113200","1",
"1707608","N/A","20/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1707608/","Procurement Services","chris.may@southampton.gov.uk","Approved Provider List for the Provision of Independent Fostering Agency Services","SOUTHAMPTON CITY COUNCIL (“The Council”) invites expressions of interest from suitably experienced organisations for appointment onto an Approved Provider List for the provision of Independent Fostering Agency services. Southampton City Council are ","Below OJEU: Contract","Southampton","Closed","20/01/2015","85000000|85311300","0",
"1712305","TRN954/12/2014","20/01/2015","19809.00","19809.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712305/","","sarah.doyle@decc.gsi.gov.uk","Research on Historic Interconnector Flows, to Inform Estimates of Future Contribution to GB security of supply","The Department of Energy and Climate Change (“DECC”) wishes to appoint a Supplier to undertake Research on Historic Interconnector Flows, to Inform Estimates of Future Contribution to GB security of supply
","Published Contract Doc Set","London","Published","20/01/2015","73000000","4",
"1712309","1362","20/01/2015","225000.00","225000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712309/","Leeds City Council","john.bradshaw@leeds.gov.uk","Travel Buddy Services to LCC","The provision of Buddy Requirements for Independent Travel Training","Below OJEU: Contract Award","City and Hunslet","Published","20/01/2015","63712000","0",
"1712310","","20/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1712310/","Newcastle-under-Lyme Borough Council","julian.lythgoe@newcastle-staffs.gov.uk","Window Cleaning Contract - Corporate Premises","
<p>The Borough Council of Newcastle-under-Lyme are seeking tenders for the delivery of a window cleaning service at its corporate premises in Newcastle-under-Lyme Staffordshire.</p>
<p>The carrying out and submission of proposals for the Council ","Below OJEU: Contract","Stoke-on-Trent","Closed","20/01/2015","90911000|90911300","0",
"1712308","P2014-019 ","20/01/2015","1800000.00","2000000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712308/","NHS Canterbury and Coastal CCG","thariea.whisker@nhs.net","Canterbury and Coastal CCG Faversham Minor Injury Service","This notice relates to a pre-procurement market engagement event for a Faversham minor injury service for NHS Canterbury and Coastal CCG (the Commissioner). The service will deliver the following components: • To provide a locally accessible minor i","Below OJEU: Tentative","Kent","Closed","20/01/2015","85323000|85100000|85000000","4",
"1712315","JSENS/00114","20/01/2015","11270781.00","11270781.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712315/","","desjsens-sacc-comrcl-cp2@mod.uk","Contractor Logistic Support for Land Environment Air Picture Provision (LEAPP)","Contractor Logistic Support for Land Environment Air Picture Provision (LEAPP)","Published Contract Doc Set","United Kingdom","Published","20/01/2015","72253200|79933000|79632000|63120000|35121900","26",
"1712316","FTS4/SACC/0012","20/01/2015","186792.00","186792.00","Live","http://data.gov.uk/data/contracts-archive/contract/1712316/","","desjsens-sacc-comrcl-cp2@mod.uk","GUARDIAN Assessment Phase Requirements & Technical Project Office Support","The provision of four major support activity domains: - (a) Requirements capture and SRD production - (b) MODAF Architecture production - (c) Tactical Data Link (TDL) requirements capture, analysis and documentation - (d) High level Interface Contro","Published Contract Doc Set","Bristol, City of","Published","20/01/2015","71356300","19",
